# Classic Mandarin IPA transcription
# version: 20190510
# author: hhliow (github.com/hhliow)
# license: cc by-sa 4.0
# The transcription is intended to reflect the system of 洪武正韻譯訓, but considering the actual phonetics of modern forms of Classic Mandarin (e.g. the Classic Mandarin vocalization found in Kun Opera), the following simplifications maybe applied upon the transcribed system:
#  Syllable codae -p -t -k maybe merged to glottal stop -[ʔ];
#  Breathy fricatives ʂʱ ʃʱ sʱ fʱ ɦ may each be merged into [ʂ] [ʃ] [s] [f] [h]~[x] respectively;
#  While preceding /i/ or /y/, velar and glottal consonants /k/ /kh/ /g/ /ŋ/ /ʔ/ /h/ /ɦ/ may be palatalized and fricativized to [tɕ] [tɕʰ] [dʑ] [j] [j] [ɕ] [ɕ(ʱ)] respectively;
#  finals -iaw and -iɛw may be merged.
# 洪武正韻gloss is extracted from data digitalized by Kanseki Repository. Baxter-Sagart gloss is from Baxter-Sagart Old Chinese reconstruction. 廣韻gloss is from ytenx.org.
# Transcription and data organization is done by hhliow (github.com/hhliow).
字	異體	ytenx小韻號	洪武正韻譯訓音(IPA)	洪武正韻譯訓音	洪武正韻gloss	對應廣韻字號	Baxter-Sagart disambiguator	廣韻gloss
織		1260	tʃɨ̌	ㄓ꜄	織文錦綺屬亦作誌書貢禹厥篚織文無音當於去入二聲通用又見下又陌韻	15252		織文錦綺屬又音職
織		1263	tʃʰɨ̌	ㄔ꜄	漢志旗織加其上又見上	?		
羿		1274	(ŋ)ǐ	ㄫㄧ꜅	古射師帝嚳射官一曰后羿有窮國君論語羿善射从羽从廾羽箭也羿以工射為義古善射者以名其官	16027	"(name of legendary archer)
"	上同「𢏗」(古能射人名說文曰帝嚳射官也夏少康滅之)
翄	翅	1262	tʃʰǐ	ㄔㄧ꜄		?		
翅	翄	1262	tʃʰǐ	ㄔㄧ꜄	昌智切説文翼也亦作𦐊翨又輿啻同孟子奚翅食重从羽从支聲又不翅過多也又支韻	?		
翨		1262	tʃʰǐ	ㄔㄧ꜄	周禮有翨氏掌攻猛鳥以時獻其羽翮俗作翨	?		
耿	炅炔	1115	k(i)ə̂ŋ	꜂ㄍ(ㄧ)ㄥ	古幸切介也光也憂也又古迥切	13564	brilliant; wide awake	耿介也又耿耿不安也又姓晉大夫趙夙滅耿因封焉遂以國爲氏古幸切三
聾		4	lyȕŋ	꜁ㄌㄩㄨㆭ	耳病	?		
脝		501	həŋ	ㄏㄥ	廣韻膨脝脹也韓愈城南聫句苦聞腹膨脝干寳易傳作彭亨	7610		膨脝脹也許庚切三
脞		1014	dz(w)ɔ̌'	ㆡㄛ'꜅	小也細碎也	?		
臝		1017	l(w)ɔ̂	꜂ㄌㄛ	莊子解衣盤礴臝又果臝栝樓也齊人呼為天瓜又踝臝細腰蜂亦作蠃	13052	果臝 kwaX.lwaX a kind of gourd	並上同「𧝹」(又力管切)
至		1260	tʃɨ̌	ㄓ꜄	到也又極也又案説文烏飛从高下至地也故篆文作其形也	14918	arrive	到也說文曰鳥飛从髙下至地也篆文象形脂利切十三
艾		1274	(ŋ)ǐ	ㄫㄧ꜅	息也絶也左傳昭元年國未艾也陸音魚計切與蓺音同又割也芟也俊乂也亦作乂又過半也詩夜未艾又治也安也亦作䢃又泰韻	17063		治也見詩
莝		1652	dz(w)ɔ̌	ㆡㄛ꜅	斬芻	?		
菑	葘甾烖災灾	1260	tʃɨ̌	ㄓ꜄		?		
菘		20	syuŋ	ㄙㄩㄨㆭ	菜名	100		菜名
葉		2242	jiɛ̏ʔ(p)	ㄧㄝ꜇ㆴ	弋涉切枝葉又姓又書冊歐陽脩曰唐人藏書皆作卷軸後有葉子似今策子又見下从艸从音葉俗作枼凡从枼者皆然	24841	leaf	枝葉又姓吳志孫堅傳有都尉葉雄與涉切又式涉切十
蒒		38	ʂɨ	ㄕ	草名	?		
蒝		332	(ŋ)jyuɛ̏n	꜁ㄩㄢ		4283		莖葉布也
蓌		1652	dz(w)ɔ̌	ㆡㄛ꜅	詐也又拜失容也挫也禮記介者不拜爲其拜而拜廣韻作夎又禡韻	?		
蓏		1017	l(w)ɔ̂	꜂ㄌㄛ	在木曰果在地曰蓏有核曰果無核曰蓏植生曰果蔓生曰蓏木實曰果草實曰蓏	13056		果蓏說文曰木上曰果地上曰蓏應劭云木實曰果草實曰蓏張晏云有核曰果無核曰蓏
蓰		38	ʂɨ	ㄕ	五倍曰蓰孟子或相倍蓰又薺韻	?		
蓺	藝秇埶	1274	(ŋ)ǐ	ㄫㄧ꜅	史記六蓺漢書蓺文詩蓺麻如之何我蓺黍稷竝作蓺	16353	to plant	上同「埶」(說文穜也周禮音丗)
藙		1274	(ŋ)ǐ	ㄫㄧ꜅	煎茱萸禮記用藙漢㑹稽獻藙	15471	Zanthoxylum (Sichuan pepper)	上同「𧅙」(說文曰煎茱萸也)
藝	芸兿蓺秇埶	1274	(ŋ)ǐ	ㄫㄧ꜅	才伎也度也業也常也準也種也亦作蓺杜預曰藝法制也周禮六藝禮樂射御書數又六經謂之六藝書蒙羽其藝謂種植也	16351	cultivation, art, skill	才能也靜也常也準也又姓出姓苑魚祭切八
蘢		4	lyȕŋ	꜁ㄌㄩㄨㆭ	蘢古草名又蒙蘢蔽覆貌漢鼂錯傳屮木蒙蘢又盧紅切	449		蘢古草
蚎	蚏	2042	(ŋ)jyuɛ̏ʔ(t)	ㄩㄝ꜇ㆵ	蟚蚎似蟹而小亦作𧑅	21468		蟚蚏似蟹而小
蚖		332	(ŋ)jyuɛ̏n	꜁ㄩㄢ	蠑蚖蛇類一曰蜥蜴又寒韻	4273		蠑蚖蜥蜴也一名守宫字林云在壁曰蝘蜓在洲曰蜥蜴
螄		38	ʂɨ	ㄕ	螺螄	?		
蠃	螺	1017	l(w)ɔ̂	꜂ㄌㄛ	蝶蠃又歌韻	13057	蜾蠃 kwaX.lwaX a kind of wasp	蜾蠃蒲盧郭璞云細𦝫蜂也負螟蛉之子於空木中七日而成其子法言云螟蛉之子殪而逢蜾蠃祝曰類我類我久則肖之
蠡		1017	l(w)ɔ̂	꜂ㄌㄛ	疥病左氏傳為其不疾瘯蠡又見齊歌薺三韻	?		
蠪		4	lyȕŋ	꜁ㄌㄩㄨㆭ		?		
衞	衛	2042	(ŋ)jyuɛ̏ʔ(t)	ㄩㄝ꜇ㆵ	䕶也從也兵衞也范曅靈帝贊逐棲官衞協韻于别切又隊韻	?		
袣		1275	jǐj	ㄧ꜄	同上(𧙟)又褏也相如賦曳獨繭之褕袣	16332		長被又衣長皃
袲		695	tʃʰî	꜂ㄔㄧ	衣長又宋地春秋桓十五年㑹于袲	?		
裔		1275	jǐj	ㄧ꜄	末也邊也胄也説文衣裾也又容裔縱肆也苖裔種族也又裔裔羣行貌	16318	posterity; border	邊也苗裔也又容裔也說文曰衣裾也俗作⧈衣冏
裸	躶	1017	l(w)ɔ̂	꜂ㄌㄛ	魯果切赤體亦作躶倮果臝	13049	bare, naked	赤體說文曰袒也郎果切九
褫	裭	695	tʃʰî	꜂ㄔㄧ	奪也衣絮偏也解也又支寘二韻	10239;10508		
褹		1274	(ŋ)ǐ	ㄫㄧ꜅	複襦	16358		字林云複襦也
襱		4	lyȕŋ	꜁ㄌㄩㄨㆭ	袴也	?		
襹		38	ʂɨ	ㄕ	𧞬襹毛羽衣貌	?		
襼		1274	(ŋ)ǐ	ㄫㄧ꜅	袂也唐劉文靜傳奮襼大呼	?		
觶	觗	1260	tʃɨ̌	ㄓ꜄	酒器實曰觴虚曰觶禮記尊者舉觶卑者舉角孔穎達曰觶者適也受三升又罰爵又支韻	14741		爵受四𦫵或作觗𧣨
詍		1275	jǐj	ㄧ꜄	荀子辨利非以言是則謂之詍注以言亂是謂之詍詩無然詍詍	16326		多言
詣		1274	(ŋ)ǐ	ㄫㄧ꜅	倪制切至也造也	16025	arrive	至也五計切十一
誌	志	1260	tʃɨ̌	ㄓ꜄	記也亦作志識又呉楚俗謂黒子為誌中國通呼為黶黒子	15250	record (n.?)	記誌
諺		1488	ŋɑ̌n	ㄫㄢ꜅	畔諺剛猛也書乃逸仍諺見說文今書作諺音彥注云叛諺不恭亦作喭又霰韻	?		
謜		332	(ŋ)jyuɛ̏n	꜁ㄩㄢ	徐語説文謜謜而來孟子作源源又霰韻	4278		徐語孟子云故謜謜而來
謜		1551	(ŋ)jyuɛ̌n	ㄩㄢ꜅	徐語說文引孟子謜謜而來又先韻	?		
識		1260	tʃɨ̌	ㄓ꜄	書序識其政事又見下又陌韻	15253	remember, commemorate	標識見禮本音式
谾		4	lyȕŋ	꜁ㄌㄩㄨㆭ	山深貌相如賦深山谾谾	?		
豅		4	lyȕŋ	꜁ㄌㄩㄨㆭ	大谷	?		
豻	犴	238	ŋɑ̏n	꜁ㄫㄢ	俄寒切胡地野犬似狐而小又翰韻	4605		胡地野狗似狐而小或作犴俄寒切又音岸四
豻	犴	1488	ŋɑ̌n	ㄫㄢ꜅	胡地野犬似狐而小又野獄曰豻亦作犴又豻侯射的亦作干又寒韻	17554	wild dog	野狗
質	貭	1260	tʃɨ̌	ㄓ꜄	孟子不傳質為臣又物相質當也左傳周鄭交質又質韻	?		
贄		1260	tʃɨ̌	ㄓ꜄	執贄本作𡠗亦作質書五玉三帛二生一死贄	14920		執贄也周禮云以禽作六贄以等諸臣孤執皮帛卿執羔大夫執鴈士執雉庶人執鶩工商執鷄本亦作摯
越		2042	(ŋ)jyuɛ̏ʔ(t)	ㄩㄝ꜇ㆵ	發揚也超也遠巴墜也走也逾也又于也於也又發語辭與爰同於越國名百越南蠻摠名通作粤又蒲草屬選葛越注草布又曷韻	21461	pass over	墜也干也於也遠也走也逾也曰也揚也說文度也亦吳越又姓句踐之後又虜三字姓後秦録有北梁州刺史越質詰歸王伐切十六
跇		1275	jǐj	ㄧ꜄	踰也	16330		超踰又丑例切
蹉		1652	dz(w)ɔ̌	ㆡㄛ꜅	足跌亦作差又歌韻	?		
躓		1260	tʃɨ̌	ㄓ꜄	跲也與𨆫通又支韻	?		
軏	䡇	2042	(ŋ)jyuɛ̏ʔ(t)	ㄩㄝ꜇ㆵ	車轅耑持衡曲木又五忽切論語輗軏有兩音	21440		車轅端曲木也又五骨切
輊		1260	tʃɨ̌	ㄓ꜄	車前重漢馬援傳居前不能令人輊	?		
輗		1274	(ŋ)ǐ	ㄫㄧ꜅	大車轅耑持衡者又齊韻	?		
轅		1551	(ŋ)jyuɛ̌n	ㄩㄢ꜅	輈也又轘轅地名見左傳釋文又先韻	?		
遠	逺	942	(ŋ)jyuɛ̂n	꜂ㄩㄢ	遼也遥也指逺定體又霰韻凡逺近之逺上聲論語可謂逺也已美詩其人甚逺之類是也逺離之逺去聲論語敬鬼神而逺之逺之則怨易逺小人之類是也俗作逺	11666	far	遙逺也雲阮切二
遠	逺	1551	(ŋ)jyuɛ̌n	ㄩㄢ꜅	同上(謜)切離也遠之也又先韻	17417		離也于願切一
邍		332	(ŋ)jyuɛ̏n	꜁ㄩㄢ	説文廣平之野周禮有邍師	?		
邏		1017	l(w)ɔ̂	꜂ㄌㄛ	遮也巡也又箇韻	?		
邧		332	(ŋ)jyuɛ̏n	꜁ㄩㄢ	邑名左傳文四年秦人伐晉圍邧又五遠切罕用不增入上聲	4276		地名
釃		38	ʂɨ	ㄕ	𥂖酒詩釃酒有藇陸徳明曰以篚𥂖酒馬援傳擊牛釃酒章懐太子曰釃猶濾也又疏也分也漢溝洫志釃二渠以引河亦作廝又見模薺韻	?		
鉞	戉	2042	(ŋ)jyuɛ̏ʔ(t)	ㄩㄝ꜇ㆵ	大斧又謂之戚又謂之揚說文作戉	21465	a kind of axe	上同「戉」(說文曰大斧也司馬法曰夏執𤣥戊殷執白戚周左杖黃戊又作鉞)
鉹		695	tʃʰî	꜂ㄔㄧ	方言涼州呼甑説文曲鉹一名鬵鼎又攴韻	?		
銳	锐鋭	1408	jǔi	ㄨㄟ꜄	利也芒也通進也又細小也左傳昭十六年以玉賈罪不亦銳乎	16220		利也又姓姓苑云升平中鮮卑有御史中丞銳管以芮切六
銼		1652	dz(w)ɔ̌	ㆡㄛ꜅		?		
鋜		2092	ɖʐwɒ̏ʔ(k)	ㄓㄨㄛ꜇ㆶ	廣韻鎖足韓愈納涼聨句黃鶴足仍鋜	20725		鎖足
鎖	鏁鎻	1013	s(w)ɔ̂	꜂ㄙㄛ	蘇果切鋃鐺俗作鎻从金从小从貝从巛誤	13007	chain	鐵鎖也俗作鏁蘇果切十二
阮		332	(ŋ)jyuɛ̏n	꜁ㄩㄢ	从阜从元古原字又郡名史記五阮郡又銑韻	4282		五阮郡出史記又元逺切
阮		942	(ŋ)jyuɛ̂n	꜂ㄩㄢ	五逺切姓也又先韻	11663		姓出陳留虞逺切三
院		1551	(ŋ)jyuɛ̌n	ㄩㄢ꜅	堅也宅也室也廣韻垣院謂庭館有垣牆者曰院又胡官切	18019	wall round a courtyard	垣院
隋	陏	1016	tʰ(w)ɔ̂	꜂ㄊㄛ	大裂肉又圜而長	13035	shred sacrificial meat	裂肉也又徒果切
靨		2242	jiɛ̏ʔ(p)	ㄧㄝ꜇ㆴ	頰輔	?		
願	愿	1551	(ŋ)jyuɛ̌n	ㄩㄢ꜅	虞怨切大頭也欲也思也顗望也	17346	to wish	欲也念也思也說文云大頭也魚怨切四
饁		2242	jiɛ̏ʔ(p)	ㄧㄝ꜇ㆴ	餽餉	24984		餉田
饎		1263	tʃʰɨ̌	ㄔ꜄	説文云酒食也方言云熟食亦作糦又作𩟄	15347		方言云熟食也說文云酒食也
馱	駄䭾	1646	d(w)ɔ̌	ㄉㄛ꜅	載也亦作他又歌韻又唐佐切	?		
騵		332	(ŋ)jyuɛ̏n	꜁ㄩㄢ	駵馬白腹	4270		赤馬白腹
騺	驇	1260	tʃɨ̌	ㄓ꜄	馬重从鳥誤	?		
鬆		20	syuŋ	ㄙㄩㄨㆭ	鬆髪亂貌本韻思容切音雖微異而義不殊又通韻不可雙押故去之又送韻	640		髮亂皃亦作䯳
鬌		1015	t(w)ɔ̂	꜂ㄉㄛ	小兒翦髪為鬌内則注鬌所遺髮也謂畱髮為角子者也又徒果切	12993		小兒翦髮爲鬌
鯍		502	ɦə̏ŋ	꜁ㄏㄥ		?		
鷙		1260	tʃɨ̌	ㄓ꜄	猛擊鳥鷹鸇之類廣韻鷙執也取其能服執衆鳥漢杜詩傳湯武善御衆故無忿鷙之師注鷙擊也凡鳥之勇獸之猛者皆曰鷙亦作摰	14921	bird of prey	擊鳥
鷟		2092	ɖʐwɒ̏ʔ(k)	ㄓㄨㄛ꜇ㆶ	鸑鷟	20727		鸑鷟
黿		332	(ŋ)jyuɛ̏n	꜁ㄩㄢ	似鼈而大	4271		似鼈而大紀年曰穆王[-/三]十七年起師至九江以黿爲梁
齺		2092	ɖʐwɒ̏ʔ(k)	ㄓㄨㄛ꜇ㆶ	齒相近一曰齒相逆又上下相向貌荀子齺然上下相信	20732		齒相近皃
龍	尨竜龒	4	lyȕŋ	꜁ㄌㄩㄨㆭ	盧容切鱗蟲之長爾雅馬高八尺為龍又通也和也詩何天之龍我龍受之毛如字鄭讀作寵左傳董父擾龍事舜賜氏曰豢龍劉累學擾龍事孔甲賜氏曰御龍句龍為后土氏曰句龍御音迓句音鉤又陽董二韻	441	dragon	通也和也寵也鱗蟲之長也易曰雲從龍又姓舜納言龍之後力鍾切九
龐	厐龎厖龎	4	lyȕŋ	꜁ㄌㄩㄨㆭ	充實也詩四牡龐龐又陽韻	?		
龓	䪊	4	lyȕŋ	꜁ㄌㄩㄨㆭ		?		
㙐		1015	t(w)ɔ̂	꜂ㄉㄛ		?		
㢋		695	tʃʰî	꜂ㄔㄧ	廣也國語俠溝而㢋我亦作㢁唐王忠嗣傳軍㢁翼掩之	?		
㣻		1274	(ŋ)ǐ	ㄫㄧ꜅	創㣻懲也亦作艾乂又見泰韻	17061		困患爲戒
㮓		1782	kə̌ŋ	ㄍㄥ꜄	从亘誤	?		
㰍	櫳	4	lyȕŋ	꜁ㄌㄩㄨㆭ	房屋之疏通作櫳	?		
㳿		1275	jǐj	ㄧ꜄		?		
㵝		1275	jǐj	ㄧ꜄	溶㵝水貌	16335		溶㵝水皃
㵩		1275	jǐj	ㄧ꜄	蒸蔥禮記作㳿	16342		蒸也又葱㵩也
㶴		695	tʃʰî	꜂ㄔㄧ	火盛	?		
䆍		4	lyȕŋ	꜁ㄌㄩㄨㆭ	穧也一曰禾病也	?		
䋐		2042	(ŋ)jyuɛ̏ʔ(t)	ㄩㄝ꜇ㆵ	采章也又苧布一曰車馬飾	21466		紵布說文曰采彰也一曰車馬飾
䚦		695	tʃʰî	꜂ㄔㄧ	角傾又人姓名列子䚦俞師曠聽之弗聞	?		
䛖		1275	jǐj	ㄧ꜄		?		
䜭		1408	jǔi	ㄨㄟ꜄	漢五行志思之不䜭	?		
䢃		1274	(ŋ)ǐ	ㄫㄧ꜅	安也治也通作艾	17065		才人名
䤻		1016	tʰ(w)ɔ̂	꜂ㄊㄛ		?		
䬂		2042	(ŋ)jyuɛ̏ʔ(t)	ㄩㄝ꜇ㆵ	風聲	?		
䮗		1488	ŋɑ̌n	ㄫㄢ꜅	馬行貌又馬頟白至脣	17556		𩢔䮗馬行又馬白頟至脣
䱭		502	ɦə̏ŋ	꜁ㄏㄥ		?		
䱭		1782	kə̌ŋ	ㄍㄥ꜄		?		
䲊		1016	tʰ(w)ɔ̂	꜂ㄊㄛ	魚子已生从魚从隋从隨誤	13036		魚子巳生
䵀		1013	s(w)ɔ̂	꜂ㄙㄛ	小麥屑	13012		說文曰小麥屑之覈
𢤄		20	syuŋ	ㄙㄩㄨㆭ	惺了慧	?		
𢳊		1274	(ŋ)ǐ	ㄫㄧ꜅	木相磨也	?		
𣐈	柹	700	ʂʱɨ̌'	ㄕ'꜅	説文赤實果从木𪩲聲類篇曰俗作柿非是柿音芳吠切削木片也	?		
𣐈	柹	1264	ʂʱɨ̌	ㄕ꜅	果又紙韻	?		
𤑻	爗	2242	jiɛ̏ʔ(p)	ㄧㄝ꜇ㆴ	煒𤑻明盛也亦作𤍞	24986	shine, gleam	說文盛也
𤼠		1017	l(w)ɔ̂	꜂ㄌㄛ	筋結病也又瘰	13055		上同「瘰」(瘰[𤻤/癧]病筋結也)
𥠄		1015	t(w)ɔ̂	꜂ㄉㄛ	禾垂貌	13003		禾垂皃又丁官切
𥿰		1015	t(w)ɔ̂	꜂ㄉㄛ	冕前垂	?		
𦐊		1262	tʃʰǐ	ㄔㄧ꜄	史記楚世家三國布𦐊俗作翄	?		
𦐧		1274	(ŋ)ǐ	ㄫㄧ꜅	揚雄賦𦐧氏控弦説文羽之𦐧風謂箭乗風而疾也一古諸侯一射師羿射師以官而為諸侯	16028		說文曰羽之[羿/𦐧]風亦古諸侯也一曰射師
𧑅		2042	(ŋ)jyuɛ̏ʔ(t)	ㄩㄝ꜇ㆵ	彭𧑅似蟹而小	?		
𧔞		332	(ŋ)jyuɛ̏n	꜁ㄩㄢ	重蠶本作原周禮禁原蠶鄭注原再也俗从虫	4274		晚蠶周禮[榮/禁]原蠶鄭注云原再也俗從䖵
𧙟		1275	jǐj	ㄧ꜄	衣長亦作䄁加㸃誤	?		
𧴪		1013	s(w)ɔ̂	꜂ㄙㄛ		13018		貝聲
𨆫		1260	tʃɨ̌	ㄓ꜄		?		
𩒜		1015	t(w)ɔ̂	꜂ㄉㄛ		?		
𩟄		1263	tʃʰɨ̌	ㄔ꜄	周禮有𩟄人主炊官注亦作饎	?		
𩟭		4	lyȕŋ	꜁ㄌㄩㄨㆭ	𩟭餅	?		
𩢲	駛	1276	ʂɨ̌	ㄕ꜄	馬行疾亦作駛又紙韻	?		
𪀚		20	syuŋ	ㄙㄩㄨㆭ	似鷹而小能捕雀	98		似鷹而小能捕雀也
𪁊		1260	tʃɨ̌	ㄓ꜄	月令鷹隼蚤𪁊也	?		
𪚝		4	lyȕŋ	꜁ㄌㄩㄨㆭ	圭為龍文	442		圭爲龍文
