# 洪武正韻譯訓字表
# v20200322
# Compiled by hhliow (github.com/hhliow)
# license: cc by-sa 4.0
# Trailing ' denotes 全濁上聲 syllables pronounced as 去聲.
# Modern vocalization (e. g. that found in theatry and Southwest Mandarin) may
#   palatalize or frictivize /k/ /g/ /ŋ/ /ʔ/ /h/ /ɦ/ before /i/ /y/,
#   merge syllable codae -p -t -k to [ʔ],
#   drop breathiness in /ʂʱ/ /ʃʱ/ /sʱ/ /fʱ/ /ɦ/, and
#   merge /iaw/ and /iɛw/.
# Credits:
#   The gloss is adapted from digitalized text of 洪武正韻 in Kanseki Repository.
#   Digitalization and transliteration of 洪武正韻譯訓 syllabary is done by hhliow (github.com/hhliow).
# Reference:
#   成元慶 洪武正韻譯訓音研究
#   高田時雄 明末官話調值小考
char	譯訓	ipa	gloss
𪈿	만	man˩	比翼鳥又謂之鶼鶼
𪑪	만	man˩	畫車輪
潺	ᅑᅡᆫ	ʈʂʱan˩	鉏山切潺湲水流聲又先韻
孱	ᅑᅡᆫ	ʈʂʱan˩	懦弱也史記吾王孱王也又先韻
虥	ᅑᅡᆫ	ʈʂʱan˩	虎淺毛曰虥貓又產諫韻
餐	ᅔᅡᆫ	tsʰan	千山切熟食也字林水澆飯又吞食亦作䬸
斕	란	lan˩	離閑切斒斕色不純又文貌亦作瞵
瞵	란	lan˩	晉皇甫謐傳忘青紫之班瞵又眞韻
潾	란	lan˩	廣韻水貌又眞震二韻
闌	란	lan˩	郎干切門闌又晚也牢也希也褪也盡也衰也殘也階除木句闌也又飲酒半罷半在曰闌又漢成紀闌入尚方掖門應劭曰無符籍妄入宫曰闌外戚傳闌入殿中薛瓚曰無符傳出入關爲闌西域傳闌出不禁
𨷻	란	lan˩	妄入宫掖亦作闌
躝	란	lan˩	踰也
讕	란	lan˩	詆讕誣諱也谷永傳滿讕誣天廣韻逸言也又產諫二韻
欗	란	lan˩	木欗桂類亦作蘭
蘭	란	lan˩	香草左傳蘭有國香又林蘭梔子花木蘭木名花名又列子宋有蘭子者張湛曰凡物不知生出主謂之蘭殷敬順曰史記無符傳出入謂之蘭此蘭子者以技妄遊者疑與闌同
瀾	란	lan˩	大波又産諫二韻
灡	란	lan˩	潘灡米汁亦作瀾又產諫二韻
幱	란	lan˩	裳連衣廣韻幱衫幱裙也俗作襴監本从蘭誤
欄	란	lan˩	木名又霰韻
爛	란	lan˩	燦爛光貌韓愈華燭光爛爛又諫韻
閑	ᅘᅣᆫ	ɦian˩	何艱切闌也散也冗也暇也習也詩既閑且馳亦作嫺荀子多見曰閑又衞也防也易閑邪存其誠孟子閑先聖之道
閒	ᅘᅣᆫ	ɦian˩	暇也習也空隙也俗作閑从門从日月之月俗从日又見上又諫韻
憪	ᅘᅣᆫ	ɦian˩	愉也靜也又產韻
嫺	ᅘᅣᆫ	ɦian˩	雅也靜也習也通作閑屈原嫺於辭令漢書相如傳雍容嫺雅
𥊺	ᅘᅣᆫ	ɦian˩	戴目也眄也亦作瞷覵
瞯	ᅘᅣᆫ	ɦian˩	同上又目多白又覘也孟子王使人瞯夫子又曰吾將瞯良人之所之
覵	ᅘᅣᆫ	ɦian˩	同上又成覵人名又見諫韻
鷳	ᅘᅣᆫ	ɦian˩	鳥名謝恵連雪賦白鷳失素亦作鷴
瓣	빤	pʱan˩	蒲閑切瓜中實又觚又片也又諌韻詩碩人注瓠瓣陸徳明有平去二音
慳	캰	kʰian	丘閑切固也悋也説文作掔
掔	캰	kʰian	同上爾雅固也莊子牢也又先諫霰韻
鬜	캰	kʰian	秃髪又轄韻
顅	캰	kʰian	長脰貌周禮數目顅脰一曰髮少貌
黫	ᅙᅣᆫ	ʔian	烏閑切黑色从黑从西从土从覀誤
殷	ᅙᅣᆫ	ʔian	赤黑色左傳朱殷深也又見眞先軫震四韻
翻	ᄫᅡᆫ	fan	孚艱切反也覆也飛也亦作飜幡反拚
飜	ᄫᅡᆫ	fan	見廣韻
幡	ᄫᅡᆫ	fan	説文書兒拭䉉布今人呼幡布内則所謂帉帨是也又與翻同詩捷捷幡幡猶翩翩也又威儀幡幡失威儀貌孟子幡然改趙注反也相如賦翩幡漢髙紀建瓴水史注云猶建幡也數字通用
拚	ᄫᅡᆫ	fan	詩拚飛維鳥與翻同又震霰二韻
反	ᄫᅡᆫ	fan	平反理正幽枉也又與翻同張安世傳反水漿後漢書反水不收又産諫二韻
犿	ᄫᅡᆫ	fan	宛轉相從貌莊子其書雖瓌偉而連犿無傷也
璠	ᄫᅡᆫ	fan	璵璠玉名
旛	ᄫᅡᆫ	fan	旗也俗作幡非
繙	ᄫᅡᆫ	fan	繽繙風吹旗貌一曰亂絲又譯也莊子繙十二經徐又音煩又音盤
番	ᄫᅡᆫ	fan	次也重也數也遞也更也本音煩獸足也从釆从田釆音辦辨也象獸爪分辨之形與采字不同俗作畨亦作蹯又歌諫二韻
轓	ᄫᅡᆫ	fan	車大箱説文轓車之蔽也應劭曰車耳反出所以爲藩屏翳塵泥以簟爲之或用革如淳曰轓小車兩耳也師古曰言車耳反出非也漢景帝令長吏二千石車朱兩轓千石至六百石朱左轓亦作藩
藩	ᄫᅡᆫ	fan	同上又車名左傳襄二十三年以藩載欒盈杜預曰車之有障蔽者又屏也樊也籬也詩价人維藩易羝羊觸藩又符袁切草名
蕃	ᄫᅡᆫ	fan	同上書以蕃王室俗作蕃
潘	ᄫᅡᆫ	fan	灡米汁又寒韻
煩	ᄬᅡᆫ	fʱan˩	符艱切不簡也悶也勞也説文熱頭痛
繁	ᄬᅡᆫ	fʱan˩	多也又寒韻
袢	ᄬᅡᆫ	fʱan˩	袢延熱氣詩是紲袢也又絺綌又衣無色也
墦	ᄬᅡᆫ	fʱan˩	冡也孟子墦閒之祭
蹯	ᄬᅡᆫ	fʱan˩	獸足本作番
膰	ᄬᅡᆫ	fʱan˩	祭餘肉孟子作燔注胙肉至炙煿者爲燔詩燔炙芬芬周禮内饔注亦作燔説文作案膰燔義同不得重押如用脤膰與燔黍燔燒不妨重押
燔	ᄬᅡᆫ	fʱan˩	爇也炙也傳火曰燔詩載燔載烈注燔烈其肉又曰或燔或炙注燔用肉炙用肝又曰燔炙芬芬注燔炙有爇味蓋凡炙煿皆曰燔唯燔肉字與脤膰同泛用燔炙非
笲	ᄬᅡᆫ	fʱan˩	竹器所以盛棗修又產霰二韻
薠	ᄬᅡᆫ	fʱan˩	靑薠草似蘋而大
樊	ᄬᅡᆫ	fʱan˩	樊籠也山樊也藩籬也又姓説文不行也又寒韻
蘩	ᄬᅡᆫ	fʱan˩	白蒿
蠜	ᄬᅡᆫ	fʱan˩	阜螽一曰阜蠜又謂之蜚亦作蕃蟠
蟠	ᄬᅡᆫ	fʱan˩	廣韻𧔌負即阜蠜也又寒韻
礬	ᄬᅡᆫ	fʱan˩	礬石
蕃	ᄬᅡᆫ	fʱan˩	草茂又滋也漢武賦惜蕃華之未央班婕妤賦閔蕃華之不滋又見上
殘	ᅏᅡᆫ	tsʱan˩	財艱切餘也贓也凋傷也零落也通作戔又害也詩廢爲殘賊孟子賊義者謂之殘古作⿰歺戔
戔	ᅏᅡᆫ	tsʱan˩	同上切委積貌一曰顯見貌易束帛戔戔説文賊也廣韻傷也與殘同又先韻
𥂫	ᅏᅡᆫ	tsʱan˩	安盞也
單	단	tan	都艱切單複之對又大也詩俾爾單厚又孤也薄也又竭也莊子單千金之家又先產銑霰四韻俗書作蓋厸與吅同船説鋭袞治字从口亦作厶句字从口無作勾者今俗作勾斝字从吅俗亦作斚唯晉字上本从兩至字非从吅今作晉非
襌	단	tan	衣無裏方言江淮南楚之閒謂之褋關東西謂之襌又霰韻
殫	단	tan	竭也極盡也亦作單鄲前漢音義邯鄲縣邯山名鄲盡也邯山至此而盡城郭字皆从邑因以名焉
丹	단	tan	赤石又赤色又契丹北夷號契音乞又木丹梔子花
簞	단	tan	簞笥小篋鄭康成曰簞笥盛飲食者圓曰簞方曰笥
匰	단	tan	宗廟盛主器周禮司巫祭祀共匰主
鄲	단	tan	縣名又複姓漢有邯鄲淳
灘	탄	tʰan	他丹切水灘瀨説文亦作潬又諫韻
攤	탄	tʰan	開也按也布也又諫韻
嘆	탄	tʰan	大息亦作歎又諫韻
歎	탄	tʰan	又諫韻
嘽	탄	tʰan	喘息又衆也詩嘽嘽駱馬王旅嘽嘽毛傳盛也箋閒暇有餘力貌又紆緩貌荀子嘽咺憋敷又先銑二韻
幝	탄	tʰan	敝貌詩檀車嘽嘽又銑韻
壇	딴	tʱan˩	唐闌切封土爲壇除地爲場又銑霰諫三韻
檀	딴	tʱan˩	木名又姓
彈	딴	tʱan˩	糾也射也劾也抨也又鼓爪曰彈又諫韻
撣	딴	tʱan˩	觸也太玄經撣繫其名又鼓絃通作彈又諫韻先韻
聅	딴	tʱan˩	軍法以矢貫耳又屑韻
驙	딴	tʱan˩	白馬黑脊又先韻
鷤	딴	tʱan˩	雉子一曰鸛鷤射之銜矢射人
驒	딴	tʱan˩	連錢驄
儇	환	hwan	呼關切慧也利也方言疾也荀子鄉曲之儇子注謂輕薄巧慧之子又先韻
難	난	nan˩	那壇切艱也不易也重大也又木難珠名色黄生東夷曹植詩珊瑚閒木難説文作𪅀鳥名又歌翰二韻
𣠯	ᄾᅪᆫ	ʂwan	數還切關門機
先	ᄼᅧᆫ	siɛn	蘇前切前也又姓又銑霰二韻毛晃曰凡在前者謂之先則平聲先王先公孝經必有先也漢書爲天下先老子象帝之先之類是也先而導前與當後而先之則去聲易先天而天弗違詩曰予曰有先後記先立春先雷孟子先長者老子先天地生弦髙以乗韋先十二牛光武沈幾先物祖生先吾著鞭之類是也他倣此
褼	ᄼᅧᆫ	siɛn	褊褼衣貌
蹮	ᄼᅧᆫ	siɛn	蹁蹮旋行貌古作亦作𨇤躚
𥑻	ᄼᅧᆫ	siɛn	石次玉
西	ᄼᅧᆫ	siɛn	秋方漢郊祀歌白集西師古曰合韻音先竇融贊代北開西注合韻音先又齊韻
僊	ᄼᅧᆫ	siɛn	神僊亦作仙又僊僊舞貌
仙	ᄼᅧᆫ	siɛn	釋名老而不死曰仙仙遷也遷入山也故从人从山又輕健貌杜甫詩行遲更覺仙
𠑗	ᄼᅧᆫ	siɛn	見漢郊祀志説文長生𠑗去
鮮	ᄼᅧᆫ	siɛn	腥魚凡新殺曰鮮周禮作鱻老子治大國若烹小鮮謂小魚也又小山别大山曰鮮詩度其鮮原左傳昭三年葬鮮者自西門杜預曰不以壽終曰鮮又鮮卑朝鮮國名鮮于姓又色麗曰鮮韓愈詩霜曉菊鮮鮮又銑霰二韻
鱻	ᄼᅧᆫ	siɛn	同上又銑韻
躚	ᄼᅧᆫ	siɛn	跰躚舞貌亦作𨇤僊蹮
𨇤	ᄼᅧᆫ	siɛn	同上又行貌莊子跰𨇤而鑒于井
廯	ᄼᅧᆫ	siɛn	倉廪又銑韻
䉳	ᄼᅧᆫ	siɛn	竹名又銑韻
姍	ᄼᅧᆫ	siɛn	姍姍行貌漢武帝詩何姍姍而來遲相如賦便姍嫳屑又刪諌二韻
天	텬	tʰiɛn	他前切説文天顛也至髙無上古作𠀘象積氣之形毛詩傳尊而稱之則稱皇天釋名曰豫司兗冀以舌腹言之天顯也在上髙顯也靑徐以古頭言之天坦也坦然而髙逺也
千	ᅔᅧᆫ	tsʰiɛn	倉先切十百也漢志大於千
阡	ᅔᅧᆫ	tsʰiɛn	田間道南北曰阡東西曰陌漢志作仟佰又路也壟也
仟	ᅔᅧᆫ	tsʰiɛn	同上又漢書仟陌之得注仟謂千錢陌謂百錢文字音義千人之長曰仟
谸	ᅔᅧᆫ	tsʰiɛn	谸谸靑貌説文望山谷之谸靑
芊	ᅔᅧᆫ	tsʰiɛn	芊芊茂貌又霰韻
遷	ᅔᅧᆫ	tsʰiɛn	去下之高也又徙也謫也亦作𠨧
𠨧	ᅔᅧᆫ	tsʰiɛn	漢律厯志周人𠨧其行序
韆	ᅔᅧᆫ	tsʰiɛn	鞦韆繩戲
箋	ᅎᅧᆫ	tsiɛn	則前切表也識也書也亦作牋鄭康成衍毛氏詩傳之未盡者名曰箋
牋	ᅎᅧᆫ	tsiɛn	古作㮍
韉	ᅎᅧᆫ	tsiɛn	鞍䪌説文云馬鞍具也从革从薦監本从廌誤
濺	ᅎᅧᆫ	tsiɛn	濺濺水淺流貌又霰韻
諓	ᅎᅧᆫ	tsiɛn	巧言淺薄貌又銑霰二韻
湔	ᅎᅧᆫ	tsiɛn	滌也沾也又水名又霰韻
戔	ᅎᅧᆫ	tsiɛn	委積貌易束帛戔戔又刪韻
臻	ᅎᅧᆫ	tsiɛn	至也大車簀一作轃又真韻
煎	ᅎᅧᆫ	tsiɛn	熟煑也熬也又銑霰二韻
鬋	ᅎᅧᆫ	tsiɛn	鬢垂又銑霰韻
籛	ᅎᅧᆫ	tsiɛn	彭祖姓
前	ᅏᅧᆫ	tsʱiɛn˩	才先切前後之對先也進也玉篇不行而進也又銑韻古作歬
媊	ᅏᅧᆫ	tsʱiɛn˩	星名甘氏星經曰女媊居南斗
錢	ᅏᅧᆫ	tsʱiɛn˩	貨泉周禮注其藏曰泉其行曰布取其流行無不徧也又銑韻
邊	변	piɛn	卑眠切岸也陲也側也方也旁近也又姓
籩	변	piɛn	竹豆
編	변	piɛn	以繩聮次又婦人假紒周禮追師爲副編次又銑韻
鞭	변	piɛn	馬箠策
鯿	변	piɛn	魚名孟浩然詩魚藏縮項鯿
蝙	변	piɛn	蝙蝠仙鼠又名伏翼
箯	변	piɛn	竹輿公羊傳注筍也竹箯
篇	편	pʰiɛn	紕連切簡成章也
偏	편	pʰiɛn	頗也側也旁也半也又衣身之偏
猵	편	pʰiɛn	猵狚似猨而狗頭一名獦牂又霰韻
翩	편	pʰiɛn	疾飛又往來貌詩捷捷翩翩
扁	편	pʰiɛn	小也小舟曰扁舟又人名又銑韻
艑	편	pʰiɛn	艑艖舟名唐劉崇龜傳乗艑亡去又銑韻
蹁	편	pʰiɛn	蹁躚旋行貌从衣爲褊
眠	면	miɛn˩	莫堅切翕目也説文作瞑又茂密貌陸機賦清麗芊眠
瞑	면	miɛn˩	莊子晝瞑又曰據槁梧而瞑又庚梗敬霰四韻
綿	면	miɛn˩	精曰綿麤曰絮又柔弱也逺也續也纏綿綢繆也古作緜从帛从系
緜	면	miɛn˩	詩緜緜瓜瓞
櫋	면	miɛn˩	屋櫋聮亦作棉
謾	면	miɛn˩	欺也貢禹傳欺謾師古音慢又音武連切吳人讀武如姥是音與綿同又寒翰諫三韻
顚	뎐	tiɛn	多年切頂也傾斜也仆也倒也又顚顚專一也見莊子廣韻亦作又見下
[㒹/⿰眞眞]	뎐	tiɛn	唐李石傳晉君臣以夷曠致覆
[傎/⿰亻眞]	뎐	tiɛn	倒榖梁傳以晉文公之行事爲已矣通作顚
巓	뎐	tiɛn	山頂
[蹎/⿰𧾷眞]	뎐	tiɛn	説文跋也廣韻仆通作顚
[𩥄/⿰馬眞]	뎐	tiɛn	馬額白今戴星馬
[滇/⿰氵眞]	뎐	tiɛn	池地名又見下
[瘨/⿸疒顚]	뎐	tiɛn	病也詩胡寧我以旱又我飢饉又銑韻
田	뗜	tʱiɛn˩	亭年切土已耕曰田大鼓曰田又姓又獵也又霰韻
佃	뗜	tʱiɛn˩	治田又獵也又霰韻
畋	뗜	tʱiɛn˩	同上又霰韻
甸	뗜	tʱiɛn˩	又霰敬二韻
𥧑	뗜	tʱiɛn˩	塞也亦作塡
塡	뗜	tʱiɛn˩	同上又鼓聲孟子塡然鼓之又眞銑震霰四韻
[嵮/⿰山眞]	뗜	tʱiɛn˩	荀子⿰山眞如也
[磌/⿰石眞]	뗜	tʱiɛn˩	響聲春秋傳霣石聞其然又礩也又眞韻
[闐/⿵門眞]	뗜	tʱiɛn˩	盛也滿也漢書門又霰韻
鈿	뗜	tʱiɛn˩	金華飾又陷蚌曰螺鈿又霰韻
顚	뗜	tʱiɛn˩	盛氣貌玊藻盛氣顚實又憂思貌玊藻色容顚顚
[嗔/⿰口眞]	뗜	tʱiɛn˩	説文盛氣也又眞韻
[滇/⿰氵眞]	뗜	tʱiɛn˩	漢郊祀歌泛泛從髙斿晉灼音振旅之盛貌
年	년	niɛn˩	寧田切説文越歴二十八宿宣徧隂陽曰歳穀熟曰年爾雅周曰年取穀一熟古作秊
秊	년	niɛn˩	上禾下千聲
蓮	련	liɛn˩	靈年切芙蓉實
苓	련	liɛn˩	枚乗七發蔓草芳苓注苓古蓮字曹子建七啓搴芳苓之巢龜又大苦詩采苓又庚韻
憐	련	liɛn˩	哀矜也愛也俗作怜又震韻
零	련	liɛn˩	先零西羌又庚敬二韻
連	련	liɛn˩	接也合也續也還也蟬連屬綴貌亦作蟬聮匈奴鮮卑謂天爲祁連西域有天山一名祁連山漢田廣明爲祁連將軍祁亦作祁竝音時又銑諫二韻
聮	련	liɛn˩	綴屬亦作連晉王恭曰與阿太語蟬連不得歸从耳从絲又音攣
漣	련	liɛn˩	漣漪風動水成文又泣下貌
堅	견	kiɛn	經天切固也勁也剛也
肩	견	kiɛn	膊上又任也書朕不肩好貨詩佛時仔肩又克也作也媵也
[枅/⿰木幵]	견	kiɛn	屋櫨亦作𣓖又齊韻
鵳	견	kiɛn	鶙鵳鷸子一曰征鳥一曰鷹禮記注作題肩
豣	견	kiɛn	豕三歳詩獻豣于公亦作肩周禮夏官注四歳爲肩詩竝驅從兩肩兮又銑霰二韻
銒	견	kiɛn	似鐘而頸長又人名宋銒又庚韻
甄	견	kiɛn	陶也察也免也董仲舒傳注甄作瓦之人又眞震二韻
𣘖	견	kiɛn	𣘖盧摴蒲采名本作梟俗又加木又蕭韻
梟	견	kiɛn	又蕭韻
鞬	견	kiɛn	盛弓矢器左傳右屬櫜鞬又云鞬弓衣櫜箭器又見銑韻
䭈	견	kiɛn	鬻也亦作飦
飦	견	kiɛn	見下
牽	켠	kʰiɛn	苦堅切引也連也又牲腥曰餼生曰牽又霰韻
岍	켠	kʰiɛn	山名周禮謂之吳嶽
汧	켠	kʰiɛn	水名又水決之澤爲汧
雃	켠	kʰiɛn	説文石鳥一名雝渠一名精列亦作鳽又人名左傳襄九年秦景公使士⿰幵隹乞師于楚
幵	켠	kʰiɛn	平也兩手對舉凡刑幷栞豣銒汧等字皆从幵今作幵古作幵从兩手也又䍐幵二姓羌之别種趙充國傳先零䍐幵又曰河南大幵小幵天水有䍐幵縣因二羌處之而名今有姓䍐幵者是合二類而言之又音堅
愆	켠	kʰiɛn	過也辠也差爽也古作䇂凡童妾言音辛皆从䇂籀文作諐又惡疾曰愆左傳夷王愆于厥身
諐	켠	kʰiɛn	漢劉輔傳元首無失道之諐从侃从言與字不同音徯从人从兄从言
褰	켠	kʰiɛn	袴也又扱衣亦作䙭
䙭	켠	kʰiɛn	
騫	켠	kʰiɛn	馬腹縶又虧少也飛也又與愆同荀子永思騫兮注騫咎也又輕儇躁進貌栁宗元乞巧文沓沓騫騫
搴	켠	kʰiɛn	拔取亦作騫漢楊僕傳斬將騫旗又銑韻
攓	켠	kʰiɛn	同上方言楚謂取曰攓又銑韻
掔	켠	kʰiɛn	牽去也莊子掔好惡又刪諫霰三韻
攑	켠	kʰiɛn	舉也
𪊑	켠	kʰiɛn	鹿有力又音堅
賢	ᅘᅧᆫ	ɦiɛn˩	胡田切善也能也大也又愈也過也詩我從事獨賢
弦	ᅘᅧᆫ	ɦiɛn˩	弓弦説文琴瑟弓弦五經文字曰琴瑟亦用此字作絃者非論語聞弦歌之聲記春誦夏弦
絃	ᅘᅧᆫ	ɦiɛn˩	八音之絲漢志絲曰絃列子絃歌誦書通作弦又霰韻
誸	ᅘᅧᆫ	ɦiɛn˩	急也莊子謀稽乎誸注急而後考謀
舷	ᅘᅧᆫ	ɦiɛn˩	船邊
蚿	ᅘᅧᆫ	ɦiɛn˩	馬蚿百足莊子夔憐蚿
延	연	jiɛn˩	夷然切長也引也納也施及也陳也進也逺也税也又姓又冕覆禮記玉藻前後邃延又遷延淹久貌又却退貌左傳襄十四年遷延之役又霰韻
莚	연	jiɛn˩	詩旄丘注葛之蔓莚陸徳明有兩音又霰韻
䀽	연	jiɛn˩	視也
筵	연	jiɛn˩	竹席又鋪陳曰筵席之曰席又重曰筵單曰席又度堂宇以爲節考工記堂上度以筵
綖	연	jiɛn˩	冠上前後垂覆左傳衡紞紘綖記作延又銑霰二韻
郔	연	jiɛn˩	鄭地左傳作廪延
蜒	연	jiɛn˩	蜿蜒龍貌蚰蜒蟲名相如賦注蟃蜒大獸似狸長百尋又銑韻
埏	연	jiɛn˩	八埏地之八際又墓道亦作羨
焉	연	jiɛn˩	語終辭栁宗元曰決辭也左傳周之東遷晉鄭焉依又見下又支韻
姸	연	jiɛn˩	好也美也淨也方言自關而西秦晉之故都謂好曰姸
硏	연	jiɛn˩	䃺也窮也究也易曰硏諸慮又見霰韻
言	연	jiɛn˩	直言曰言又我也又真韻
䇾	연	jiɛn˩	大簫也
甗	연	jiɛn˩	甑也又銑霰二韻
沿	연	jiɛn˩	從流而下也循也俗作㳂左傳㳂漢泝江杜預曰沿順流泝逆流亦作巡从水从㕣㕣音鉉
巡	연	jiɛn˩	記終始相巡又真韻
鉛	연	jiɛn˩	黑錫又循也荀子鉛之重之注謂撫循之申重之也
緣	연	jiɛn˩	因也衣飾也又見下
蝝	연	jiɛn˩	蝮蜪蝗類
煙	ᅙᅧᆫ	ʔiɛn	因肩切火鬱氣亦作烟从西誤
烟	ᅙᅧᆫ	ʔiɛn	荀子鳧鴈若烟海又真韻
燕	ᅙᅧᆫ	ʔiɛn	國名説文作酀又霰韻
咽	ᅙᅧᆫ	ʔiɛn	咽喉又鼓聲霰屑二韻
胭	ᅙᅧᆫ	ʔiɛn	胭脂
歅	ᅙᅧᆫ	ʔiɛn	九方歅善相馬又真韻
殷	ᅙᅧᆫ	ʔiɛn	赤黑色又血深左傳左輪朱殷杜預曰音近煙又真刪軫震四韻
嫣	ᅙᅧᆫ	ʔiɛn	宋玉賦嫣然一笑又長貌
蔫	ᅙᅧᆫ	ʔiɛn	菸也食物餲也黦也亦作菸又霰韻
菸	ᅙᅧᆫ	ʔiɛn	楚辭菸邑而無色兮
鄢	ᅙᅧᆫ	ʔiɛn	邑名春秋鄭伯克段于鄢又銑韻
焉	ᅙᅧᆫ	ʔiɛn	疑辭何也豈也論語焉能為有孟子焉有仁人在位又鳥黄色出江淮閒
涓	ᄀᆑᆫ	kyuɛn	圭淵切小流滴也潔也从口从肉俗作䏍
娟	ᄀᆑᆫ	kyuɛn	美好貌又見下
鋗	ᄀᆑᆫ	kyuɛn	史記楚世家遇其故鋗人韋昭曰即今之中涓又見下
蠲	ᄀᆑᆫ	kyuɛn	清明貌潔也除也又蟲名又灰韻
䅌	ᄀᆑᆫ	kyuɛn	麥莖亦作
鵑	ᄀᆑᆫ	kyuɛn	杜鵑鳥名
睊	ᄀᆑᆫ	kyuɛn	視貌
椽	ᅑᆑᆫ	tʃʱyuɛn˩	重圓切説文秦名爲屋椽周謂之榱齊魯謂之桷
傳	ᅑᆑᆫ	tʃʱyuɛn˩	授也續也布也周禮訓方氏誦四方之傳道注傳道世世傳説往古之事也音平聲又霰韻
遄	ᅑᆑᆫ	tʃʱyuɛn˩	往來數也速也
篅	ᅑᆑᆫ	tʃʱyuɛn˩	以判竹圜以盛穀
船	ᅑᆑᆫ	tʃʱyuɛn˩	舟也又衣領
玄	ᅘᆑᆫ	ɦyuɛn˩	胡涓切黑也寂也幽逺也易天玄記九族注玄孫微昧者
泫	ᅘᆑᆫ	ɦyuɛn˩	水名泫氏縣名
眩	ᅘᆑᆫ	ɦyuɛn˩	惑亂也又霰韻
縣	ᅘᆑᆫ	ɦyuɛn˩	繫也相承借為州縣字
懸	ᅘᆑᆫ	ɦyuɛn˩	孟子解倒懸
攣	ᄅᆑᆫ	lyuɛn˩	閭圓切係也又霰韻
淵	ᅙᆑᆫ	ʔyuɛn	縈圓切止水也水盤旋處爲淵
𢏮	ᅙᆑᆫ	ʔyuɛn	弓隈
鼘	ᅙᆑᆫ	ʔyuɛn	鼘鼘鼓聲亦作咽
咽	ᅙᆑᆫ	ʔyuɛn	詩鼓咽咽又見上
娟	ᅙᆑᆫ	ʔyuɛn	嬋娟美好貌又便娟舞貌亦作嬛又音涓
嬛	ᅙᆑᆫ	ʔyuɛn	説文好也又身輕便貌
𡣬	ᅙᆑᆫ	ʔyuɛn	柔屈貌相如賦柔橈𡣬𡣬
悁	ᅙᆑᆫ	ʔyuɛn	忿也憂也詩中心悁悁亦作㾓又霰韻
㾓	ᅙᆑᆫ	ʔyuɛn	列子心㾓體煩玉篇骨節疼
蜎	ᅙᆑᆫ	ʔyuɛn	蟲行貌詩蜎蜎者蠋又見銑韻又音涓
鴛	ᅙᆑᆫ	ʔyuɛn	鴛鴦匹鳥䳄雄未嘗相離
宛	ᅙᆑᆫ	ʔyuɛn	地名大宛西域國名漢武西征大宛師古音於元切又姓左傳鄭大夫宛射犬楚大夫宛春竝有於元於阮二音唯齊大夫宛茷音于元切又銑質二韻
䡝	ᅙᆑᆫ	ʔyuɛn	兵車後厭又軫韻
冤	ᅙᆑᆫ	ʔyuɛn	屈也枉也曲也丙吉傳天下自以不冤亦作寃冕从曰从兔監本作冤誤
寃	ᅙᆑᆫ	ʔyuɛn	于定國傳天下無寃民
𠕤	ᅙᆑᆫ	ʔyuɛn	胡建傳吏民稱𠕤从曰从兔與冠冕字不同冕下从免
㠾	ᅙᆑᆫ	ʔyuɛn	幡也
鵷	ᅙᆑᆫ	ʔyuɛn	鵷鶵鳳屬唐書簉羽鵷鷺相如賦作宛雛
眢	ᅙᆑᆫ	ʔyuɛn	目無明又井無水左傳目於眢井又寒韻
蜿	ᅙᆑᆫ	ʔyuɛn	蜿蜿龍貌又見寒銑二韻
怨	ᅙᆑᆫ	ʔyuɛn	怨讎又霰韻
然	ᅀᅧᆫ	ʒiɛn˩	如延切燒也从肉从犬从火漢召信臣傳作㸐陸佐公石闕銘刑酷㸐炭俗作燃又是也語辭又燕然山
涎	ᄽᅧᆫ	sʱiɛn˩	徐延切口中液也亦作㳄
羶	ᄾᅧᆫ	ʃiɛn	尸連切羊臭牛脂玉篇作羴又庚韻
膻	ᄾᅧᆫ	ʃiɛn	列子嬪御膻惡而不可親
顫	ᄾᅧᆫ	ʃiɛn	莊子鼻徹爲顫知香臭也又霰韻
挻	ᄾᅧᆫ	ʃiɛn	引也取也
埏	ᄾᅧᆫ	ʃiɛn	和土老子埏埴以爲器又時連切八埏夷然切同又墓道又霰韻
煽	ᄾᅧᆫ	ʃiɛn	熾盛又霰韻
扇	ᄾᅧᆫ	ʃiɛn	扇凉又霰韻
鋋	ᄿᅧᆫ	ʃʱiɛn˩	時連切小矛曰鋋
饘	ᅐᅧᆫ	tʃiɛn	諸延切糜也亦作𩜾餰飦酏
餰	ᅐᅧᆫ	tʃiɛn	荀子酒醴餰鬻亦作𩛻䬤
𩛻	ᅐᅧᆫ	tʃiɛn	見内則篇
飦	ᅐᅧᆫ	tʃiɛn	孟子飦粥之食
酏	ᅐᅧᆫ	tʃiɛn	禮記小切狼臅膏與稻米爲酏注似今膏𩛻矣酏當作餰釋文𩛻又作䬤竝之然切又支紙二韻
旃	ᅐᅧᆫ	tʃiɛn	旗曲柄或作旜漢田蚡立曲旃蘇林曰禮大夫建旃曲柄上曲也説文旃旗曲柄所以旃表士庶也又與之同左傳虞公求旃
旜	ᅐᅧᆫ	tʃiɛn	又旗名周禮通帛爲旜
氈	ᅐᅧᆫ	tʃiɛn	撚毛席周禮毳毛爲氈亦作氊
鸇	ᅐᅧᆫ	tʃiɛn	晨風鶻也
邅	ᅐᅧᆫ	tʃiɛn	迍邅難行不進貌易屯如邅如亦作亶又霰韻
