CEDICT with Classical Mandarin pronunciation (中州音)		
v20200702		
Trascription curated by Hien-haw Liow		
License: cc-by-sa 3.0		
character	pronunciation	gloss
世界地圖	ʃji˨˦ kiai˨˦ di˨˦ tʱu˩	/world map/
世界報	ʃji˨˦ kiai˨˦ paw˨˦	/the name of various newspapers, notably Le Monde (France), El Mundo (Spain) and Die Welt (Germany)/
世界大戰	ʃji˨˦ kiai˨˦ da(i)˨˦ tʃiɛn˨˦	/world war/
世界屋脊	ʃji˨˦ kiai˨˦ ʔuʔᵏ tsiʔᵏ	/the roof of the world/usually refers to Tibet or Qinghai-Tibetan Plateau 青藏高原/
世界日報	ʃji˨˦ kiai˨˦ ʒiʔᵗ˩ paw˨˦	/World Journal, US newspaper/
世界杯	ʃji˨˦ kiai˨˦ pui	/World Cup/
世界第一	ʃji˨˦ kiai˨˦ di˨˦ ʔiʔᵗ	/ranked number one in the world/the world's first/
世界級	ʃji˨˦ kiai˨˦ kiʔᵖ	/world-class/
世界變暖	ʃji˨˦ kiai˨˦ piɛn˨˦ hyuɛn	/global warming/
世界金融中心	ʃji˨˦ kiai˨˦ kim jyuŋ˩ tʃyuŋ sim	/World Financial Center (New York City)/
世界銀行	ʃji˨˦ kiai˨˦ (ŋ)jin˩  ɦɑŋ˩	/World Bank/
世祿	ʃji˨˦ luʔᵏ˩	/hereditary benefits such as rank and wealth/
世祿之家	ʃji˨˦ luʔᵏ˩ tʃɨ kia	/family with hereditary emoluments/
世系	ʃji˨˦ ɦji˨˦	/lineage/genealogy/family tree/
世紀	ʃji˨˦ ki˥˧	/century/CL:個|个/
世胄	ʃji˨˦ dʒiw˨˦	/hereditary house/noble or official family/
世襲	ʃji˨˦ sʱiʔᵖ˩	/succession/inheritance/hereditary/
世貿	ʃji˨˦ məw˨˦	/World Trade Organization (WTO)/abbr. for 世界貿易組織|世界贸易组织/
世貿中心大樓	ʃji˨˦ məw˨˦ tʃyuŋ sim da(i)˨˦ ləw˩	/World Trade Center (the twin towers destroyed by the 9-11 terrorists)/
世貿大廈	ʃji˨˦ məw˨˦ da(i)˨˦ ɦia'˨˦	/World Trade Center/
世運	ʃji˨˦ jyun˨˦	/World Games/abbr. for 世界運動會|世界运动会/
世銀	ʃji˨˦ (ŋ)jin˩	/World Bank/abbr. for 世界銀行|世界银行/
世錦賽	ʃji˨˦ kim˥˧ sai˨˦	/world championship/
世隔絕	ʃji˨˦ kəʔᵏ dzyuɛʔᵗ˩	/isolated from the world/disconnected/
世面	ʃji˨˦ miɛn˨˦	/aspects of society/the world/
丘	kʰiw	/surname Qiu/
丘	kʰiw	/mound/hillock/grave/classifier for fields/
丘八	kʰiw paʔᵗ	/soldier (from the two components of the 兵 character) (derog.)/
丘吉爾	kʰiw kiʔᵗ ɻ˥˧	/variant of 邱吉爾|邱吉尔/
丘壑	kʰiw hɒʔᵏ	/hills and valleys/remote, secluded area/
丘爾金	kʰiw ɻ˥˧ kim	/Churkin (name)/Vitaly I. Churkin (1952-), Russian diplomat, Ambassador to UN from 2006/
丘腦	kʰiw naw˥˧	/thalamus/
丘陵	kʰiw liŋ˩	/hills/
丘鷸	kʰiw jyʔᵗ˩	/(bird species of China) Eurasian woodcock (Scolopax rusticola)/
丙	piŋ˥˧	/third of the ten Heavenly Stems 十天干/third in order/letter "C" or Roman "III" in list "A, B, C", or "I, II, III" etc/ancient Chinese compass point: 165°/propyl/
丙二醇	piŋ˥˧ ɻ˨˦ ʃʱyun˩	/propylene glycol/propane-1,2-diol C3H6(OH)2/
丙型	piŋ˥˧ ɦiŋ˩	/type C/type III/gamma-/
丙基	piŋ˥˧ kji	/propyl group (chemistry)/
丙子	piŋ˥˧ tsɨ˥˧	/thirteenth year C1 of the 60 year cycle, e.g. 1996 or 2056/
丙子胡亂	piŋ˥˧ tsɨ˥˧ ɦu˩ lwɔn˨˦	/second Manchu invasion of Korea (1636)/
丙戌	piŋ˥˧ syʔᵗ	/twenty-third year C11 of the 60 year cycle, e.g. 2006 or 2066/
丙等	piŋ˥˧ təŋ˥˧	/third rank/third category/third grade/grade C/
丙辰	piŋ˥˧ ʃʱin˩	/fifty-third year C5 of the 60 year cycle, e.g. 1976 or 2036/
丙醇	piŋ˥˧ ʃʱyun˩	/propanol/propyl alcohol C3H7OH/
丞	tʃʱiŋ˩	/deputy/
丣	jiw˥˧	/old variant of 酉/
丫	ʔia	/fork/branch/bifurcation/girl/
丫子	ʔia tsɨ˥˧	/see 腳丫子|脚丫子/
丫巴兒	ʔia pa ɻ˩	/fork (of a tree, road, argument etc)/bifurcation/fork junction/
丫杈	ʔia ʈʂʰa	/fork (of a tree)/tool made of forked wood/
丫角	ʔia kiɒʔᵏ	/traditional hairstyle for children, with two pointy braids, giving it a horn-like appearance/
丫頭	ʔia tʱəw˩	/girl/servant girl/(used deprecatingly, but sometimes also as a term of endearment)/
丫鬟	ʔia ɦwan˩	/servant girl/maid/
中世紀	tʃyuŋ ʃji˨˦ ki˥˧	/medieval/Middle Ages/
中人	tʃyuŋ ʒin˩	/go-between/mediator/intermediary/
中俄	tʃyuŋ ŋɔ˩	/China-Russia/
中元	tʃyuŋ (ŋ)jyuɛn˩	/Ghost Festival on 15th day of 7th lunar month when offerings are made to the deceased/
中元普渡	tʃyuŋ (ŋ)jyuɛn˩ pʰu˥˧ du˨˦	/Ghosts' festival on 15th day of 7th moon/
中元節	tʃyuŋ (ŋ)jyuɛn˩ tsiɛʔᵗ	/Ghost Festival on 15th day of 7th lunar month when offerings are made to the deceased/
中共	tʃyuŋ gyuŋ˨˦	/abbr. for 中國共產黨|中国共产党, Chinese Communist Party/
中印	tʃyuŋ ʔin˨˦	/China-India/
中印半島	tʃyuŋ ʔin˨˦ pwɔn˨˦ taw˥˧	/Indochina/also written 中南半島|中南半岛/
中古	tʃyuŋ ku˥˧	/Sino-Cuban/China-Cuba/
中古	tʃyuŋ ku˥˧	/medieval/Middle Ages/Chinese middle antiquity, 3rd to 9th centuries, including Sui and Tang Dynasties/Middle (of a language, e.g. Middle English)/used/second-hand/
中國	tʃyuŋ kwəʔᵏ	/China/
中國人	tʃyuŋ kwəʔᵏ ʒin˩	/Chinese person/
中國人大	tʃyuŋ kwəʔᵏ ʒin˩ da(i)˨˦	/China National People's Congress/
中國人民志願軍	tʃyuŋ kwəʔᵏ ʒin˩ min˩ tʃɨ˨˦ (ŋ)jyuɛn˨˦ kyun	/the Chinese People's Volunteer Army deployed by China to aid North Korea in 1950/
中國人民銀行	tʃyuŋ kwəʔᵏ ʒin˩ min˩ (ŋ)jin˩  ɦɑŋ˩	/People's Bank of China/
中國光大銀行	tʃyuŋ kwəʔᵏ kwɑŋ da(i)˨˦ (ŋ)jin˩ ɦɑŋ˩	/China Everbright Bank/
中國化	tʃyuŋ kwəʔᵏ hwa˨˦	/to sinicize/to take on Chinese characteristics/
中國國家航天局	tʃyuŋ kwəʔᵏ kwəʔᵏ kia ɦɑŋ˩ tʰiɛn gyuʔᵏ˩	/China National Space Administration (CNSA)/
中國城	tʃyuŋ kwəʔᵏ tʃʱiŋ˩	/Chinatown/
中國大蠑螈	tʃyuŋ kwəʔᵏ da(i)˨˦ jyuəŋ˩ jyuɛn˩	/Chinese giant salamander (Andrias davidianus davidianus)/
中國工商銀行	tʃyuŋ kwəʔᵏ kuŋ ʃiɑŋ (ŋ)jin˩ ɦɑŋ˩	/Industrial and Commercial Bank of China (ICBC)/
中國工程院	tʃyuŋ kwəʔᵏ kuŋ tʃʱiŋ˩ (ŋ)jyuɛn˨˦	/Chinese Academy of Engineering/
中國式	tʃyuŋ kwəʔᵏ ʃiʔᵏ	/Chinese style/à la chinoise/
中國日報	tʃyuŋ kwəʔᵏ ʒiʔᵗ˩ paw˨˦	/China Daily (an English language newspaper)/
中國時報	tʃyuŋ kwəʔᵏ ʃʱɨ˩ paw˨˦	/China Times (newspaper)/
中國林蛙	tʃyuŋ kwəʔᵏ lim˩ ʔwa	/Chinese brown frog (Rana chensinensis)/
中國氣象局	tʃyuŋ kwəʔᵏ kʰi˨˦ sʱiɑŋ'˨˦ gyuʔᵏ˩	/China Meteorological Administration (CMA)/
中國海	tʃyuŋ kwəʔᵏ hai˥˧	/the China Seas (the seas of the Western Pacific Ocean, around China: Bohai Sea, Yellow Sea, East China Sea, South China Sea)/
中國海事局	tʃyuŋ kwəʔᵏ hai˥˧ ʂʱɨ˨˦ gyuʔᵏ˩	/PRC Maritime Safety Agency/
中國產	tʃyuŋ kwəʔᵏ ʈʂʰan˥˧	/made in China/home-grown (talent)/
中國石化	tʃyuŋ kwəʔᵏ ʃʱiʔᵏ˩ hwa˨˦	/China Petroleum and Chemical Corporation, Sinopec/
中國紅	tʃyuŋ kwəʔᵏ ɦuŋ˩	/vermilion/
中國航海日	tʃyuŋ kwəʔᵏ ɦɑŋ˩ hai˥˧ ʒiʔᵗ˩	/Maritime Day (July 11th) commemorating the first voyage of Zheng He 鄭和|郑和 in 1405 AD/
中國船舶工業集團	tʃyuŋ kwəʔᵏ tʃʱyuɛn˩ bəʔᵏ˩ kuŋ ŋiɛʔᵖ˩ dziʔᵖ˩ tʱwɔn˩	/China State Shipbuilding Corporation (CSSC)/
中國菜	tʃyuŋ kwəʔᵏ tsʰai˨˦	/Chinese cuisine/
中國話	tʃyuŋ kwəʔᵏ ɦwa˨˦	/(spoken) Chinese language/
中國證券報	tʃyuŋ kwəʔᵏ tʃiŋ˨˦ kʰyuɛn˨˦ paw˨˦	/China Securities Journal/
中國農業銀行	tʃyuŋ kwəʔᵏ nuŋ˩ ŋiɛʔᵖ˩ (ŋ)jin˩ ɦɑŋ˩	/Agricultural Bank of China/
中國通	tʃyuŋ kwəʔᵏ tʰuŋ	/China watcher/an expert on China/an old China hand/
中國鈸	tʃyuŋ kwəʔᵏ bwɔʔᵗ˩	/China cymbal (drum kit component)/
中國銀行	tʃyuŋ kwəʔᵏ (ŋ)jin˩ ɦɑŋ˩	/Bank of China (BoC)/
中型	tʃyuŋ ɦiŋ˩	/medium sized/
中堅	tʃyuŋ kiɛn	/core/nucleus/backbone/
中場	tʃyuŋ tʃʱiɑŋ˩	/middle period of a tripartite provincial exam (in former times)/midfield/mid-court (in sports)/half-time/intermission half-way through a performance/
中壓管	tʃyuŋ ʔiaʔᵖ kwɔn˥˧	/medium pressure tube/middle pressure hose (diving)/
中外	tʃyuŋ (ŋ)wai˨˦	/Sino-foreign/Chinese-foreign/home and abroad/
中天	tʃyuŋ tʰiɛn	/culmination (astronomy)/
中子	tʃyuŋ tsɨ˥˧	/neutron/
中子源	tʃyuŋ tsɨ˥˧ (ŋ)jyuɛn˩	/neutron source/
中局	tʃyuŋ gyuʔᵏ˩	/middle game (in go or chess)/
中層	tʃyuŋ tsʱəŋ˩	/middle-ranking/
中山裝	tʃyuŋ ʂan ʈʂwɑŋ	/Chinese tunic suit/
中巴	tʃyuŋ pa	/minibus/
中師	tʃyuŋ ʂɨ	/secondary normal school (abbr. for 中等師範學校|中等师范学校)/
中常	tʃyuŋ ʃʱiɑŋ˩	/ordinary/average/medium/mid-range/moderate/
中幫	tʃyuŋ pɑŋ	/mid-top (shoes)/
中年	tʃyuŋ niɛn˩	/middle age/
中庸	tʃyuŋ jyuŋ˩	/golden mean (Confucianism)/(literary) (of person) mediocre/ordinary/
中廳	tʃyuŋ tʰiŋ	/lobby/foyer/CL:間|间/
中徑	tʃyuŋ kiŋ˨˦	/diameter/
中微子	tʃyuŋ vi˩ tsɨ˥˧	/neutrino (particle physics)/also written 微中子/
中心	tʃyuŋ sim	/center/heart/core/CL:個|个/
中心矩	tʃyuŋ sim ky˥˧	/(statistics) central moment/
中心粒	tʃyuŋ sim liʔᵖ˩	/centriole/
中心點	tʃyuŋ sim tiɛm˥˧	/center/central point/focus/
中性	tʃyuŋ siŋ˨˦	/neutral/
中性筆	tʃyuŋ siŋ˨˦ piʔᵗ	/rollerball pen/
中意	tʃyuŋ˨˦ ʔi˨˦	/to take one's fancy/to be to one's liking/
中成藥	tʃyuŋ tʃʱiŋ˩ jiɒʔᵏ˩	/prepared prescription (Chinese medicine)/
中指	tʃyuŋ tʃɨ˥˧	/middle finger/
中提琴	tʃyuŋ tʱi˩ kʱim˩	/viola/
中旅社	tʃyuŋ ly˥˧ ʃʱiɛ'˨˦	/China Travel Service (CTS), state-owned travel company/
中杜鵑	tʃyuŋ du'˨˦ kyuɛn	/(bird species of China) Himalayan cuckoo (Cuculus saturatus)/
中板	tʃyuŋ pan˥˧	/moderato/
中止	tʃyuŋ tʃɨ˥˧	/to cease/to suspend/to break off/to stop/to discontinue/
中水	tʃyuŋ ʂui˥˧	/reclaimed water/recycled water/
中洋脊	tʃyuŋ jiɑŋ˩ tsiʔᵏ	/mid-ocean ridge (geology)/
中流	tʃyuŋ liw˩	/midstream/
中海油	tʃyuŋ hai˥˧ jiw˩	/China National Offshore Oil Corporation/
中產	tʃyuŋ ʈʂʰan˥˧	/middle class/bourgeois/
中產階級	tʃyuŋ ʈʂʰan˥˧ kiai kiʔᵖ	/middle class/
中白鷺	tʃyuŋ bəʔᵏ˩ lu˨˦	/(bird species of China) intermediate egret (Egretta intermedia)/
中的	tʃyuŋ˨˦ tiʔᵏ	/to hit the target/to hit the nail on the head/
中盤	tʃyuŋ pʱwɔn˩	/circling in midstream/in the middle of a tray/middle game (in go or chess)/
中程	tʃyuŋ tʃʱiŋ˩	/medium-range/
中立	tʃyuŋ liʔᵖ˩	/neutral/neutrality/
中立國	tʃyuŋ liʔᵖ˩ kwəʔᵏ	/neutral country/
中立性	tʃyuŋ liʔᵖ˩ siŋ˨˦	/impartiality/neutrality/
中立派	tʃyuŋ liʔᵖ˩ pʰai˨˦	/centrist/the centrist faction/
中等	tʃyuŋ təŋ˥˧	/medium/
中級	tʃyuŋ kiʔᵖ	/middle level (in a hierarchy)/
中線	tʃyuŋ siɛn˨˦	/half-way line/median line/
中繼	tʃyuŋ kji˨˦	/to relay/to repeat/
中繼器	tʃyuŋ kji˨˦ kʰi˨˦	/repeater/
中老年	tʃyuŋ law˥˧ niɛn˩	/middle and old age/
中老年人	tʃyuŋ law˥˧ niɛn˩ ʒin˩	/middle-aged and elderly people/
中耳	tʃyuŋ ɻ˥˧	/middle ear/
中聲	tʃyuŋ ʃiŋ	/medial (i.e. middle vowel of a syllable in Asian phonetics)/
中脊	tʃyuŋ tsiʔᵏ	/mid-ocean ridge (geology)/
中草藥	tʃyuŋ tsʰaw˥˧ jiɒʔᵏ˩	/Chinese herbal medicine/
中裝	tʃyuŋ ʈʂwɑŋ	/Chinese dress/
中試	tʃyuŋ ʃɨ˨˦	/pilot-scale/
中資	tʃyuŋ tsɨ	/Chinese capital/Chinese enterprise/
中賊鷗	tʃyuŋ dzəʔᵏ˩ ʔəw	/(bird species of China) pomarine skua (Stercorarius pomarinus)/
中軸	tʃyuŋ dʒyuʔᵏ˩	/axis/(bicycle) bottom bracket/
中軸線	tʃyuŋ dʒyuʔᵏ˩ siɛn˨˦	/central axis (line)/
中輟	tʃyuŋ tʃyuɛʔᵗ	/to stop halfway/to give up halfway/interruption/suspension/
中辣	tʃyuŋ laʔᵗ˩	/hot/medium level of spiciness/
中途	tʃyuŋ tʱu˩	/midway/
中途退場	tʃyuŋ tʱu˩ tʰui˨˦ tʃʱiɑŋ˩	/to leave in the middle of the play/(fig.) to leave before the matter is concluded/
中鋒	tʃyuŋ fuŋ	/midfielder/center (basketball)/center forward (hockey, football)/
中隔	tʃyuŋ kəʔᵏ	/septum (anatomy)/
中飽	tʃyuŋ paw˥˧	/to embezzle/to misappropriate/to line one's pockets with public funds/
中點	tʃyuŋ tiɛm˥˧	/midpoint/half-way point/
丰	fuŋ	/luxuriant/buxom/variant of 豐|丰/variant of 風|风/appearance/charm/
丰姿	fuŋ tsɨ	/charm/good looks/
丳	ʈʂʰan˥˧	/skewer/
丸	ɦwɔn˩	/ball/pellet/pill/
丸子	ɦwɔn˩ tsɨ˥˧	/pills/balls/meatballs/
丸山	ɦwɔn˩ ʂan	/Maruyama (Japanese surname and place name)/
丹	tan	/red/pellet/powder/cinnabar/
丹巴	tan pa	/Danba county (Tibetan: rong brag rdzong) in Garze Tibetan autonomous prefecture 甘孜藏族自治州, Sichuan (formerly in Kham province of Tibet)/
丹布朗	tan pu˨˦ lɑŋ˥˧	/Dan Brown (American novelist)/
丹彩	tan tsʰai˥˧	/vermilion/rhetorical language/
丹徒	tan tʱu˩	/Dantu district of Zhenjiang city 鎮江市|镇江市, Jiangsu/
丹心	tan sim	/loyal heart/loyalty/
丹桂	tan kui˨˦	/orange osmanthus/
丹江口	tan kiɑŋ kʰəw˥˧	/Danjiangkou county level city in Shiyan 十堰, Hubei/
丹瑞	tan ʂʱui˨˦	/General Than Shwe (1933-), Myanmar army officer and politician, leader of the military junta 1992-2011/
丹皮	tan pʱi˩	/the root bark of the peony tree/
丹砂	tan ʂa	/cinnabar/mercuric sulfide HgS/
丹貝	tan pui˨˦	/see 天貝|天贝/
丹陽	tan jiɑŋ˩	/Danyang county level city in Zhenjiang 鎮江|镇江, Jiangsu/
丹霞	tan ɦia˩	/Mt Danxia in Shaoguan 韶關|韶关, Guangdong/Danxia landform (red conglomerate and sandstone)/
丹霞山	tan ɦia˩ ʂan	/Mt Danxia in Shaoguan 韶關|韶关, Guangdong/
丹鳳	tan fʱuŋ˨˦	/Danfeng County in Shangluo 商洛, Shaanxi/
丹鳳	tan fʱuŋ˨˦	/red phoenix/
丹鳳眼	tan fʱuŋ˨˦ (ŋ)jian˥˧	/red phoenix eyes (eyes whose outer corners incline upwards)/
丹麥	tan məʔᵏ˩	/Denmark/
久	kiw˥˧	/(long) time/(long) duration of time/
久久	kiw˥˧ kiw˥˧	/for a very long time/
久之	kiw˥˧ tʃɨ	/for a long time/
久保	kiw˥˧ paw˥˧	/Kubo (Japanese surname)/
久已	kiw˥˧ ji˥˧	/long ago/a long time since/
久慕	kiw˥˧ mu˨˦	/lit. I've admired you for a long time (honorific)./I've been looking forward to meeting you./It's an honor to meet you at last./
久曠	kiw˥˧ kʰwɑŋ˨˦	/to leave uncultivated for a long time/by extension, to neglect one's work/to remain single/
久病	kiw˥˧ biŋ˨˦	/my old illness/chronic condition/
久等	kiw˥˧ təŋ˥˧	/to wait for a long time/
久而久之	kiw˥˧ ɻ˩ kiw˥˧ tʃɨ	/over time/as time passes/in the fullness of time/
久違	kiw˥˧ ui˩	/(haven't done sth) for a long time/a long time since we last met/
久闊	kiw˥˧ kʰwɔʔᵗ	/a long period of separation/
久陪	kiw˥˧ pʱui˩	/to accompany over long term/
之	tʃɨ	/(possessive particle, literary equivalent of 的)/him/her/it/
之一	tʃɨ ʔiʔᵗ	/one of (sth)/one out of a multitude/one (third, quarter, percent etc)/
之中	tʃɨ tʃyuŋ	/inside/among/in the midst of (doing sth)/during/
之前	tʃɨ tsʱiɛn˩	/before/prior to/ago/previously/beforehand/
之外	tʃɨ (ŋ)wai˨˦	/outside/excluding/
之字形	tʃɨ dzɨ˨˦ ɦiŋ˩	/Z-shaped/zigzag/
之字路	tʃɨ dzɨ˨˦ lu˨˦	/zigzag road/switchback/
之所以	tʃɨ ʂu˥˧ ji˥˧	/the reason why/
之至	tʃɨ tʃɨ˨˦	/extremely/
之際	tʃɨ tsi˨˦	/during/at the time of/
之類	tʃɨ lui˨˦	/and so on/and such/
乍	ɖʐa˨˦	/at first/suddenly/abruptly/to spread/(of hair) to stand on end/bristling/
乍得	ɖʐa˨˦ təʔᵏ	/Chad/
乍得湖	ɖʐa˨˦ təʔᵏ ɦu˩	/Lake Chad/
乍浦	ɖʐa˨˦ pʰu˥˧	/Zhapu town and port on north of Hangzhou Bay 杭州灣|杭州湾 in Zhejiang/
乍現	ɖʐa˨˦ ɦiɛn˨˦	/to appear suddenly/
乎	ɦu˩	/(classical particle similar to 於|于) in/at/from/because/than/(classical final particle similar to 嗎|吗, 吧, 呢, expressing question, doubt or astonishment)/
乏	fʱaʔᵖ˩	/short of/tired/
乏人照顧	fʱaʔᵖ˩ ʒin˩ tʃiɛw˨˦ ku˨˦	/(of a person) left unattended/not cared for/
乏力	fʱaʔᵖ˩ liʔᵏ˩	/lacking in strength/weak/feeble/
乏味	fʱaʔᵖ˩ vi˨˦	/tedious/
乖	kwai	/(of a child) obedient, well-behaved/clever/shrewd/alert/perverse/contrary to reason/irregular/abnormal/
乖謬	kwai miw˨˦	/ridiculous/abnormal/
乖順	kwai ʃʱyun˨˦	/obedient (colloquial)/
乙	ʔiʔᵗ	/second of the ten Heavenly Stems 十天干/second in order/letter "B" or Roman "II" in list "A, B, C", or "I, II, III" etc/second party (in legal contract, usually 乙方, as opposed to 甲方)/ethyl/bent/winding/radical in Chinese characters (Kangxi radical 5)/ancient Chinese compass point: 105°/
乙	ʔiʔᵗ	/turning stroke (in Chinese characters)/see also 折/
乙丑	ʔiʔᵗ tʃʰiw˥˧	/second year B2 of the 60 year cycle, e.g. 1985 or 2045/
乙二醇	ʔiʔᵗ ɻ˨˦ ʃʱyun˩	/glycol/ethylene glycol C2H4(OH)2 (antifreeze)/
乙卯	ʔiʔᵗ maw˥˧	/fifty-second year B4 of the 60 year cycle, e.g. 1975 or 2035/
乙型	ʔiʔᵗ ɦiŋ˩	/type B/type II/beta-/
乙基	ʔiʔᵗ kji	/ethyl group (chemistry)/
乙太	ʔiʔᵗ tʰai˨˦	/variant of 以太/
乙巳	ʔiʔᵗ sʱɨ'˨˦	/forty-second year B6 of the 60 year cycle, e.g. 1965 or 2025/
乙未	ʔiʔᵗ vi˨˦	/thirty-second year B8 of the 60 year cycle, e.g. 1955 or 2015/
乙炔	ʔiʔᵗ kui˨˦	/acetylene/ethyne C2H2/
乙肝	ʔiʔᵗ kɑn	/hepatitis B/
乙腦	ʔiʔᵗ naw˥˧	/meningitis B/epidemic encephalitis B/Japanese encephalitis/abbr. for 乙型脑炎/
乙酉	ʔiʔᵗ jiw˥˧	/twenty-second year B10 of the 60 year cycle, e.g. 2005 or 2065/
乙酸	ʔiʔᵗ swɔn	/acetic acid (CH3COOH)/ethanoic acid/
乙酸基	ʔiʔᵗ swɔn kji	/acetyl radical CH3COO-/
乙醇	ʔiʔᵗ ʃʱyun˩	/ethanol C2H5OH/same as alcohol 酒精/
乙醇酸	ʔiʔᵗ ʃʱyun˩ swɔn	/glycolic acid C2H4O3/
乜	jiɛ˥˧	/to squint/what? (Cantonese)/see also 乜嘢/
乩	kji	/to divine/
乩童	kji tʱuŋ˩	/spirit medium/
亂	lwɔn˨˦	/in confusion or disorder/in a confused state of mind/disorder/upheaval/riot/illicit sexual relations/to throw into disorder/to mix up/indiscriminate/random/arbitrary/
亂七八糟	lwɔn˨˦ tsʰiʔᵗ paʔᵗ tsaw	/everything in disorder (idiom); in a hideous mess/at sixes and sevens/
亂世	lwɔn˨˦ ʃji˨˦	/the world in chaos/troubled times/(in Buddhism) the mortal world/
亂來	lwɔn˨˦ lai˩	/to act recklessly/to mess around/
亂倫	lwɔn˨˦ lyun˩	/incest/immorality/depravity/fornication/
亂叫	lwɔn˨˦ kiɛw˨˦	/to inconsiderately shout/
亂套	lwɔn˨˦ tʰaw˨˦	/in a mess/upside down/
亂寫	lwɔn˨˦ siɛ˥˧	/to write without basis/
亂局	lwɔn˨˦ gyuʔᵏ˩	/chaotic situation/
亂成一團	lwɔn˨˦ tʃʱiŋ˩ ʔiʔᵗ tʱwɔn˩	/in a great mess/chaotic/
亂民	lwɔn˨˦ min˩	/rebels/
亂石	lwɔn˨˦ ʃʱiʔᵏ˩	/rocks/stones/rubble/riprap/
亂碼	lwɔn˨˦ ma˥˧	/mojibake (nonsense characters displayed when software fails to render text according to its intended character encoding)/
亂竄	lwɔn˨˦ tsʰwɔn˨˦	/to flee in disarray/to scatter/
亂糟糟	lwɔn˨˦ tsaw tsaw	/chaotic/topsy turvy/a complete mess/
亂紀	lwɔn˨˦ ki˥˧	/to break the rules/to break discipline/
亂臣賊子	lwɔn˨˦ tʃʱin˩ dzəʔᵏ˩ tsɨ˥˧	/rebels and traitors (idiom)/general term for scoundrel/
亂花	lwɔn˨˦ hwa	/to spend recklessly/to waste money/
亂花錢	lwɔn˨˦ hwa tsʱiɛn˩	/to spend money recklessly/to squander/
亂蓬蓬	lwɔn˨˦ pʱuŋ˩ pʱuŋ˩	/disheveled/tangled/
亂講	lwɔn˨˦ kiɑŋ˥˧	/to talk nonsense/nonsense!/
亂象	lwɔn˨˦ sʱiɑŋ'˨˦	/chaos/madness/
亂跑	lwɔn˨˦ pʱaw˩	/to run around all over the place/
亂麻	lwɔn˨˦ ma˩	/lit. tangled skein/in a tremendous muddle/confused/
了	liɛw˥˧	/(completed action marker)/(modal particle indicating change of state, situation now)/(modal particle intensifying preceding clause)/
了	liɛw˥˧	/to finish/to achieve/variant of 瞭|了/to understand clearly/
了不起	liɛw˥˧ puʔᵗ kʰi˥˧	/amazing/terrific/extraordinary/
了了	liɛw˥˧ liɛw˥˧	/to realize clearly/to settle a matter/to get it over with/
了事	liɛw˥˧ ʂʱɨ˨˦	/to dispose of a matter/to be done with it/
了卻	liɛw˥˧ kʰiɒʔᵏ	/to resolve/to settle/
了卻此生	liɛw˥˧ kʰiɒʔᵏ tsʰɨ˥˧ ʂəŋ	/to die/to be done with this world/
了如指掌	liɛw˥˧ ʒy˩ tʃɨ˥˧ tʃiɑŋ˥˧	/to know sth like the back of one's hand (idiom)/to know (a person, a place etc) inside out/
了局	liɛw˥˧ gyuʔᵏ˩	/end/conclusion/solution/
了得	liɛw˥˧ təʔᵏ	/exceptional/outstanding/dreadful/appalling/
了然	liɛw˥˧ ʒiɛn˩	/to understand clearly/evident/
事	ʂʱɨ˨˦	/matter/thing/item/work/affair/CL:件,樁|桩,回/
事事	ʂʱɨ˨˦ ʂʱɨ˨˦	/everything/
事件	ʂʱɨ˨˦ giɛn'˨˦	/event/happening/incident/CL:個|个/
事例	ʂʱɨ˨˦ lji˨˦	/example/exemplar/typical case/
事兒	ʂʱɨ˨˦ ɻ˩	/one's employment/business/matter that needs to be settled/(northern dialect) (of a person) demanding/trying/troublesome/erhua variant of 事/CL:件,樁|桩/
事兒媽	ʂʱɨ˨˦ ɻ˩ ma˥˧	/(coll.) fussbudget/pain in the ass/
事到今日	ʂʱɨ˨˦ taw˨˦ kim ʒiʔᵗ˩	/under the circumstances/the matter having come to that point/
事到如今	ʂʱɨ˨˦ taw˨˦ ʒy˩ kim	/as matters stand/things having reached this stage/
事前	ʂʱɨ˨˦ tsʱiɛn˩	/in advance/before the event/
事勢	ʂʱɨ˨˦ ʃji˨˦	/state of affairs/
事宜	ʂʱɨ˨˦ ji˩	/matters/arrangements/
事實	ʂʱɨ˨˦ ʃʱiʔᵗ˩	/fact/CL:個|个/
事實婚	ʂʱɨ˨˦ ʃʱiʔᵗ˩ hun	/common-law marriage/de facto marriage/
事情	ʂʱɨ˨˦ tsʱiŋ˩	/affair/matter/thing/business/CL:件,樁|桩/
事態	ʂʱɨ˨˦ tʰai˨˦	/situation/existing state of affairs/
事故	ʂʱɨ˨˦ ku˨˦	/accident/CL:樁|桩,起,次/
事業	ʂʱɨ˨˦ ŋiɛʔᵖ˩	/undertaking/project/activity/(charitable, political or revolutionary) cause/publicly funded institution, enterprise or foundation/career/occupation/CL:個|个/
事業心	ʂʱɨ˨˦ ŋiɛʔᵖ˩ sim	/devotion to one's work/professional ambition/
事業線	ʂʱɨ˨˦ ŋiɛʔᵖ˩ siɛn˨˦	/(slang) cleavage/(palmistry) business line/
事機	ʂʱɨ˨˦ kji	/confidential aspects of a matter/secrets/key moment for action/
事權	ʂʱɨ˨˦ kʱyuɛn˩	/position/authority/responsibility/
事物	ʂʱɨ˨˦ vuʔᵗ˩	/thing/object/CL:個|个/
